"Language","Roots","Und","Pairs","Equi","ND"
"Acholi",102,0.852941176470588,249,0.64859437751004,0.345381526104418
"Alamblak",20,0.1,29,0.0689655172413793,0.137931034482759
"Basque",82,0.0975609756097561,201,0.0995024875621891,0.445273631840796
"Carib",48,0.583333333333333,86,0.697674418604651,0.116279069767442
"Dani (Lower Grand Valley)",31,0.290322580645161,91,0.516483516483517,0.032967032967033
"English",103,0,432,0.0300925925925926,0.375
"Fijian",66,0.0303030303030303,148,0.310810810810811,0.0337837837837838
"Finnish",104,0.365384615384615,469,0.216417910447761,0.239872068230277
"French",87,0,377,0.112732095490716,0.181697612732096
"Georgian",78,0.0512820512820513,67,0.701492537313433,0.0895522388059701
"German",68,0.117647058823529,287,0.142857142857143,0.17595818815331
"Gooniyandi",33,0,3,0,1
"Greek (Modern)",76,0.0526315789473684,154,0.0844155844155844,0.428571428571429
"Hausa",73,0.287671232876712,90,0.505555555555556,0.266666666666667
"Hindi",93,0.021505376344086,258,0.281007751937984,0.143410852713178
"Hopi",75,0.213333333333333,249,0.465863453815261,0.0321285140562249
"Jakaltek",57,0,123,0.260162601626016,0.0650406504065041
"Japanese",83,0.289156626506024,100,0.38,0.2
"Kayardild",49,0,104,0.307692307692308,0
"Khalkha",65,0.138461538461538,167,0.272455089820359,0.0868263473053892
"Koiari",57,0.192982456140351,49,0.224489795918367,0.306122448979592
"Korean",94,0.223404255319149,188,0.388297872340426,0.180851063829787
"Malagasy",73,0.534246575342466,222,0.707207207207207,0.0315315315315315
"Mandarin",101,0.0396039603960396,394,0.119289340101523,0.399746192893401
"Mapudungun",75,0.0266666666666667,191,0.0759162303664921,0.269633507853403
"Martuthunira",50,0,36,0.194444444444444,0.111111111111111
"Meithei",86,0.0465116279069767,198,0.287878787878788,0.0656565656565657
"Mixtec (Chalcatongo)",93,0.0537634408602151,247,0.307692307692308,0.0445344129554656
"Paiwan",60,0.616666666666667,181,0.674033149171271,0.0386740331491713
"Persian",91,0.142857142857143,217,0.271889400921659,0.186635944700461
"Pintupi",75,0.213333333333333,73,0.315068493150685,0.0684931506849315
"Quechua (Huallaga)",93,0.0967741935483871,163,0.190184049079755,0.0736196319018405
"Russian",82,0.0487804878048781,276,0.152173913043478,0.202898550724638
"Spanish",74,0.027027027027027,307,0.185667752442997,0.0749185667752443
"Swahili",98,0.23469387755102,214,0.219626168224299,0.189252336448598
"Tenango Tzeltal",76,0.0526315789473684,303,0.198019801980198,0.102310231023102
"Turkish",89,0.0898876404494382,216,0.150462962962963,0.0486111111111111
"Vietnamese",71,0,144,0.180555555555556,0.229166666666667
"Warao",60,0.0166666666666667,131,0.148854961832061,0.187022900763359
"Yaqui",76,0.0131578947368421,248,0.1875,0.211693548387097
"Yoruba",175,0.0228571428571429,204,0.0294117647058824,0.627450980392157
"Yup'ik",66,0.121212121212121,309,0.119741100323625,0.13915857605178
"Zoque (Copainala)",69,0,288,0.208333333333333,0.105902777777778
